id,,imdb_title_id,title,original_title,year,genre,country,language,votes
149,,tt6592296,Hölmö nuori sydän,Hölmö nuori sydän,2018,Drama,"Finland, Netherlands, Sweden","Finnish, Somali",568
150,,tt6593240,Mes provinciales,Mes provinciales,2018,Drama,France,French,511
151,,tt6596418,Der Unschuldige,Der Unschuldige,2018,Drama,"Switzerland, Germany",Swiss German,185
152,,tt6601502,Ray & Liz,Ray & Liz,2018,Drama,UK,English,1213
153,,tt6613812,Angrezi Mein Kehte Hain,Angrezi Mein Kehte Hain,2018,Drama,India,Hindi,1024
154,,tt6622960,Soratobu taiya,Soratobu taiya,2018,Drama,Japan,Japanese,171
155,,tt6622982,Tabineko ripôto,Tabineko ripôto,2018,Drama,Japan,Japanese,312
156,,tt6628102,L'albero dei frutti selvatici,Ahlat Agaci,2018,Drama,"Turkey, Republic of North Macedonia, France, Germany, Bosnia and Herzegovina, Bulgaria, Sweden, Qatar",Turkish,18609
157,,tt6753132,Chained for Life,Chained for Life,2018,Drama,USA,English,508
158,,tt6773126,Tucked,Tucked,2018,Drama,UK,English,438
159,,tt6776106,Andið eðlilega,Andið eðlilega,2018,Drama,"Iceland, Sweden, Belgium","Icelandic, English",2162
160,,tt6933338,José,José,2018,Drama,"Guatemala, USA",Spanish,409
161,,tt6933454,Puzzle,Puzzle,2018,Drama,USA,English,5930
162,,tt6952960,Lontano da qui,The Kindergarten Teacher,2018,Drama,"USA, Israel, UK, Canada",English,12343
163,,tt6961808,Tutti i ricordi di Claire,La dernière folie de Claire Darling,2018,Drama,France,French,701
164,,tt6964554,Kupi menya,Kupi menya,2018,Drama,Russia,Russian,339
165,,tt7163824,Teret,Teret,2018,Drama,"Serbia, France, Croatia, Iran, Qatar",Serbian,1227
166,,tt7176472,Vierges,Vierges,2018,Drama,"France, Israel, Belgium",Hebrew,183
167,,tt7177250,Cowboy & Indiana,Cowboy & Indiana,2018,Drama,USA,English,115
168,,tt7184124,Night Comes On,Night Comes On,2018,Drama,USA,English,659
169,,tt7191910,Mountain Rest,Mountain Rest,2018,Drama,USA,English,159
170,,tt7210264,Yûzai,Yûzai,2018,Drama,Japan,Japanese,132
171,,tt7210426,Sauver ou périr,Sauver ou périr,2018,Drama,"France, Belgium",French,983
172,,tt7217362,Say Yes,Say Yes,2018,Drama,USA,English,181
173,,tt7218334,Cops,Cops,2018,Drama,Austria,German,311
174,,tt7227412,Rich Kids,Rich Kids,2018,Drama,USA,"English, Spanish",106
175,,tt7491144,Quel giorno d'estate,Amanda,2018,Drama,France,"French, English",1826
176,,tt7502234,Les chatouilles,Les chatouilles,2018,Drama,France,French,861
177,,tt7504214,AA BB KK,AA BB KK,2018,Drama,India,"Hindi, Marathi, Malayalam",244
178,,tt7999960,Xquipi' Guie'dani,Xquipi' Guie'dani,2018,Drama,Mexico,Spanish,122
179,,tt8000314,Peledu kalnas,Peledu kalnas,2018,Drama,Lithuania,Lithuanian,556
